source_id,period,field,available,source_section,report_page,status,missing_for_tax_conclusion
PUB-YY-2023-AR,2023,operating_revenue,True,合并利润表,100,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,operating_cost,True,合并利润表,100,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,taxes_and_surcharges,True,合并利润表,100,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,research_and_development_expense,True,合并利润表,100,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,income_tax_expense,True,合并利润表,100,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,accounts_receivable,True,合并资产负债表,96,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,contract_assets,True,合并资产负债表,96,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,contract_liabilities,True,合并资产负债表,96,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,taxes_payable,True,合并资产负债表,96,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,cash_received_from_sales,True,合并现金流量表,105,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,taxes_paid,True,合并现金流量表,105,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2023-AR,2023,government_grants_recognized_in_profit,True,3、 计入当期损益的政府补助,242,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,operating_revenue,True,合并利润表,89,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,operating_cost,True,合并利润表,89,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,taxes_and_surcharges,True,合并利润表,89,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,research_and_development_expense,True,合并利润表,89,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,income_tax_expense,True,合并利润表,89,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,accounts_receivable,True,合并资产负债表,85,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,contract_assets,True,合并资产负债表,85,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,contract_liabilities,True,合并资产负债表,85,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,taxes_payable,True,合并资产负债表,85,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,cash_received_from_sales,True,合并现金流量表,93,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,taxes_paid,True,合并现金流量表,93,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
PUB-YY-2024-AR,2024,government_grants_recognized_in_profit,True,3、 计入当期损益的政府补助,222,PUBLIC_FIELD_ONLY,"tax_return,invoices,contracts,orders,bank_records,business_explanation"
